hey everybody it's your personal trainer,1,HasFit
coach kozak here from has fake,1,HasFit
and i'm claudia,1,HasFit
and this is our beginner weight training routine,1,HasFit
this routine is great for both men and women of a beginner fitness level,1,HasFit
the only equipment required for this workout is a pair of dumbbells now,2,HasFit
that weight of the dumbbells is going to be totally determined by your current fitness level,2,HasFit
just remember it's much better to start light and work your way up than the other way around the only only other equipment that you may want for,2,HasFit
this workout is a chair or a box for some of the modified movements,2,HasFit
we're going to do the whole thing with you,2,HasFit
ready to get this thing,2,HasFit
going all right we're going to start with either a dumbbell crusher or a dumbbell tiro so if you want to do the easier modified versions you go and follow claudia,2,HasFit
she's going to be using one dumbbell,2,HasFit
i'm going to use two,2,HasFit
so that's the main difference,2,HasFit
i'm going to squeeze these together and i'm going to pull back and claudia is just going to interlock her fingers and pull back either way,2,HasFit
we're both pulling back on our elbows,2,HasFit
keeping those elbows tucked in nice and tight to the body pulling back we're keeping our core tight and straight and our upper body is on a 45 degree angle,2,HasFit
now we're not going to count any repetitions today,2,HasFit
i just want you to try to perform as many moves as you can in allotted time period work at your own pace but at the same time be sure to push yourself because nobody else can do it for you,2,HasFit
three nice work keep it going pulling back on those elbows keeping them tight to your body in five four three two and one okay,2,HasFit
we're going to go to the ground for the next one,2,HasFit
it's going to be a combo movement,2,HasFit
we're going to need both weights for this one,2,HasFit
we're going to do a hip up plus chest press,2,HasFit
we're going to drive off our heels and at the same time we're going to press the dumbbell straight up and back down getting a lot of different body parts worked in this one,2,HasFit
so we're getting your hamstrings your glutes your lower back,2,HasFit
your abs just shoulders triceps,2,HasFit
the list goes on but it's a very efficient movement getting a lot of work in in a short period of time,2,HasFit
drive off those heels,2,HasFit
squeeze the gluts up at the top,2,HasFit
try your best not to hyperextend your back to just come up until your upper body is in this nice straight line and make sure not to bounce your arms off the ground either nice work breathe one right into the next moving at a pace that you feel comfortable with you got it almost there,2,HasFit
let's go five more seconds on this one and four three two one and done okay,2,HasFit
we're on to our feet for the next one need both weights again,2,HasFit
we're going to either do a stiff leg,2,HasFit
deadlift plus shrug or claudia is going to show you an ar deal with chance for romanian deadlift,2,HasFit
i didn't make that up,1,HasFit
we're going to put our weight back in our hips little,2,HasFit
bend the knee,2,HasFit
i'm going to go all the way down,2,HasFit
and i'm going to bring my hips forward and shrug claudia's just going to come,2,HasFit
and bring her hands just below our knees and then repeat that same shrug,2,HasFit
so we're driving our hips backwards,2,HasFit
all the way up hips forward,2,HasFit
and then shrug bringing your shoulders up to your ears,2,HasFit
feel that stretching your hamstrings,2,HasFit
if you're not feeling a stretch in the back of your leg then i want to make sure you drive in those hips back just a little bit in those knees and hips,2,HasFit
go back again,2,HasFit
another combo movement this one feet in hamstrings gluts lower back and your traps good and notice how both of us are keeping our backs,2,HasFit
nice and straight on this movement so we're not breaking that straight line and punching over but keeping our back straight while we're kicking those hips back you got it almost done with this one five four three two and last one zero nice okay,2,HasFit
so we're going to move on to some shoulder presses next,2,HasFit
i'm gonna grab my box over here,2,HasFit
claudia's going to grab our box,2,HasFit
and i'm going to do this,2,HasFit
one from a standing position so from the box,2,HasFit
it's a little easier standing a little harder standing it forces me to use a little bit more stability and a little bit more core but overall very comparable movements,2,HasFit
you decide which one is right for you if you don't feel comfortable the overhead quite yet grab a seat full range of motion on this one all the way up all the way down,2,HasFit
stay nice and under control you want to fling or swing the dumbbells around keep your core tight,2,HasFit
this is a strength training routine so we don't want to,2,HasFit
i know you said work at your own pace,2,HasFit
but we definitely don't want to make this a cardio and just start pumping out correct exactly right if you using a weight that you can just do,2,HasFit
100 reps in this 30-second time period,2,HasFit
then you up the weight nice okay not much time left on this one and five four three two and one nice all right,2,HasFit
shake the arm,2,HasFit
move this out of the way and we're going to move into a dumbbell curl so we're gonna hit those biceps next working on the gun show chloe's got to go and show her tank top on tonight with those guns anyway,2,HasFit
firing my wife's guns okay,1,HasFit
so we're going to do a curl,2,HasFit
both palms come up,2,HasFit
we're going to curl those pinkies in on the way up and then all the way back down again,2,HasFit
this one's under control so that means we're not swinging up and flinging them back down right,2,HasFit
it defeats the purpose,2,HasFit
but instead i feel that time under tension feel those muscles contracting all the way up and all the way down you got it good closing give you a nice side view,2,HasFit
keep those shoulders back and square,2,HasFit
mm-hmm you got it,2,HasFit
we're breathing just 10 more seconds left on this one flight through you got it and three two one and zero are moving to the lower body,2,HasFit
claudia is going to grab her box or if you have a chair that works as well if you want to the modified version,2,HasFit
i'm also going to lose a dumbbell,2,HasFit
here yeah gigi exactly,1,HasFit
she's only gonna use one way good point so she's going to do a goblet squats,2,HasFit
she notice how she's holding the way up two hands and i got a new thumbs out,2,HasFit
i'm not gonna do a dumbbell squat just with at my side so i'm going to go up,2,HasFit
be able to get a little bit deeper,2,HasFit
then doing the chair or box squat,2,HasFit
but either way we're both bending at the hips first driving those hips back and then coming down until our hips are parallel to the ground,2,HasFit
all the way up all the way down and i'm just touching the chair and coming right back up,2,HasFit
i'm not sitting not resting exactly,2,HasFit
i make sure you're bouncing,2,HasFit
that's the other thing right,2,HasFit
correct on swing off of this,2,HasFit
if you guys still shave you hear the seat either or squatting make sure you keep those knees out,2,HasFit
don't allow them to break your compress in nice work,2,HasFit
how much left on this one,2,HasFit
i know your legs are probably starting to feel it,2,HasFit
i didn't forget about you,2,HasFit
we got five four three two and one done okay,2,HasFit
we're going to move on,2,HasFit
to a dumbbell tricep kickback,2,HasFit
we're gonna hit those triceps next save movement really just to put a mix up your weight find,2,HasFit
what weight works for you on this one,2,HasFit
so we're bent over our elbows are up,2,HasFit
we're only going to bend at those elbows not moving the whole arm,2,HasFit
keep your core tight and at the top,2,HasFit
you're squeezing that back of the arm squeezing your triceps up at the top nice work notice,2,HasFit
we're using that elbow as a lever,2,HasFit
so we're not moving that upper arm,2,HasFit
just bend at the elbow so i mean but as you're not going here right now singing no swinging because now all the sudden all the other muscles are taking over we just want to isolate the triceps on this one you got it ten more seconds,2,HasFit
that's it guys are doing great,2,HasFit
thank you so much for joining us today and for all of your hard work and three two one and done,2,HasFit
okay we're going to the ground losing my weights body's going to lose your weights,2,HasFit
i'm going to keep mine though we're going to do a dumbbell reach crunch so from a crunch position we're going to our feet on the ground,2,HasFit
we're going to reach up to the ceiling,2,HasFit
we're going our shoulder blades,2,HasFit
