muscle,6,bodyParts
abs,6,bodyParts
lower body,1,bodyParts
tricep,7,bodyParts
heel,5,bodyParts
glut,4,bodyParts
back,43,bodyParts
upper body,4,bodyParts
arm,7,bodyParts
feet,4,bodyParts
knee,7,bodyParts
hip,16,bodyParts
shoulder,8,bodyParts
core,7,bodyParts
palm,1,bodyParts
pinkie,3,bodyParts
bicep,2,bodyParts
elbow,12,bodyParts
upper arm,1,bodyParts
glute,3,bodyParts
ear,2,bodyParts
forearm,0,bodyParts
finger,1,bodyParts
rib,0,bodyParts
tail,0,bodyParts
calf,0,bodyParts
calves,0,bodyParts
on the ground,1,directionToMove
up,50,directionToMove
back,43,directionToMove
angle,1,directionToMove
to the ground,5,directionToMove
down,10,directionToMove
below,2,directionToMove
over,6,directionToMove
parallel,1,directionToMove
ground,9,directionToMove
off the ground,3,directionToMove
back down,4,directionToMove
high,1,directionToMove
straight up,2,directionToMove
in line,1,directionToMove
at the top,5,directionToMove
side to side,0,directionToMove
open,0,directionToMove
back together,0,directionToMove
forward,2,directionToMove
around,2,directionToMove
into,8,directionToMove
straight,7,directionToMove
side,4,directionToMove
right,30,directionToMove
other side,0,directionToMove
lower,4,directionToMove
low,11,directionToMove
in the ground,0,directionToMove
out,18,directionToMove
left,7,directionToMove
center,0,directionToMove
degrees,0,directionToMove
front,1,directionToMove
hip level,0,directionToMove
toward,0,directionToMove
above,0,directionToMove
straight line,2,directionToMove
higher,0,directionToMove
weight,24,equipment
dumbbell,18,equipment
box,6,equipment
chair,5,equipment
seat,3,equipment
water,1,equipment
mat,1,equipment
towel,0,equipment
jump rope,0,equipment
getting ready,1,startingAnExercise
we're starting,1,startingAnExercise
starting,3,startingAnExercise
getting right into it,1,startingAnExercise
get right into it,0,startingAnExercise
first we're,0,startingAnExercise
start off,0,startingAnExercise
start it,0,startingAnExercise
the first exercise,0,startingAnExercise
start with,2,startingAnExercise
start our stretch,0,startingAnExercise
first workout,0,startingAnExercise
here we go,3,startingAnExercise
you ready,1,startingAnExercise
join me now,0,startingAnExercise
starting off,0,startingAnExercise
start to,2,startingAnExercise
we are done,1,stoppingAnExercise
are done,1,stoppingAnExercise
we're done,0,stoppingAnExercise
it's over,0,stoppingAnExercise
done okay,5,stoppingAnExercise
it is done,0,stoppingAnExercise
is done,0,stoppingAnExercise
that's the end,1,stoppingAnExercise
not done yet,0,duration
not much left,2,duration
halfway done,1,duration
got ten seconds,1,duration
ten second,1,duration
got 10 more seconds,1,duration
10 more seconds,2,duration
more seconds left,1,duration
more seconds,6,duration
second break,1,duration
20 second,1,duration
30 second,0,duration
seconds here,0,duration
twenty seconds,0,duration
ten seconds,1,duration
we have five seconds,0,duration
work for 20 seconds,0,duration
twenty second,0,duration
we've got 40 seconds,0,duration
20 seconds,0,duration
40 seconds of work,0,duration
40 second,0,duration
forty seconds here,0,duration
forty second,0,duration
40 seconds,0,duration
20 seconds of each,0,duration
60 seconds,0,duration
20 seconds of,0,duration
last 60 seconds,0,duration
almost done,1,duration
five more seconds,3,duration
not much time left,1,duration
almost there,5,duration
we are almost there,0,duration
can see the finish line,0,duration
not done yet,0,duration
"getting close to the end,",0,duration
seconds,7,duration
as quick as we can,0,pacing
four three two one,8,pacing
three two one,11,pacing
five four three two one,5,pacing
four three two one zero,4,pacing
five four three two one zero,3,pacing
four three two one and zero,1,pacing
three two one and zero,3,pacing
five four three two and one,4,pacing
