big breathes,0,breathing
big exhale,6,breathing
big inhale,5,breathing
breather,0,breathing
breathe,5,breathing
catch your breath,2,breathing
deep breaths,0,breathing
slow exhales,1,breathing
exhales,4,breathing
exhale,8,breathing
inhales,1,breathing
inhale,5,breathing
keep breathing,0,breathing
breathing,2,breathing
be determined,0,encouragingPhrases
be focused,0,encouragingPhrases
be strong,0,encouragingPhrases
believe in you,0,encouragingPhrases
best effort,0,encouragingPhrases
big desire,0,encouragingPhrases
big drive,0,encouragingPhrases
big effort,0,encouragingPhrases
big energy,0,encouragingPhrases
can do this,0,encouragingPhrases
channeling it,0,encouragingPhrases
come on squad,4,encouragingPhrases
come on,49,encouragingPhrases
coming for you,0,encouragingPhrases
couldn't do it without you,0,encouragingPhrases
crushing it,2,encouragingPhrases
designed to be tough,0,encouragingPhrases
determination,0,encouragingPhrases
doing great,3,encouragingPhrases
doing this together,1,encouragingPhrases
don't worry if,0,encouragingPhrases
drive come on,0,encouragingPhrases
effort,0,encouragingPhrases
every single second matters,0,encouragingPhrases
everybody's there,0,encouragingPhrases
everybody's with us,0,encouragingPhrases
everyone's doing great,1,encouragingPhrases
excellent job,0,encouragingPhrases
extra effort,0,encouragingPhrases
fantastic,0,encouragingPhrases
feeling good,4,encouragingPhrases
feeling the pain,0,encouragingPhrases
fight,0,encouragingPhrases
fighting through,0,encouragingPhrases
finishing strong,0,encouragingPhrases
focus on your goals,0,encouragingPhrases
game faces,0,encouragingPhrases
get that much better,0,encouragingPhrases
give it all,1,encouragingPhrases
good job,1,encouragingPhrases
good pain,0,encouragingPhrases
got plenty left,0,encouragingPhrases
got to do it,0,encouragingPhrases
got to find it,0,encouragingPhrases
got to put it in,0,encouragingPhrases
great job,0,encouragingPhrases
happy thoughts,4,encouragingPhrases
high fives,1,encouragingPhrases
how you feeling,1,encouragingPhrases
I can't keep up,0,encouragingPhrases
I need you,0,encouragingPhrases
I promise you,0,encouragingPhrases
I'm feeling it,0,encouragingPhrases
I'm just as tired,0,encouragingPhrases
it really counts,1,encouragingPhrases
it's about desire,0,encouragingPhrases
it's all mental,0,encouragingPhrases
it's intense,0,encouragingPhrases
keep getting it,1,encouragingPhrases
keep going,1,encouragingPhrases
keep it up,0,encouragingPhrases
keep stepping up,0,encouragingPhrases
keep working,0,encouragingPhrases
keep you moving,0,encouragingPhrases
know you can,2,encouragingPhrases
know you will,0,encouragingPhrases
let's dig,0,encouragingPhrases
let's do this,0,encouragingPhrases
let's get it,6,encouragingPhrases
let's go,21,encouragingPhrases
let's push,0,encouragingPhrases
let's work,0,encouragingPhrases
let's work this,0,encouragingPhrases
lucky to be here,0,encouragingPhrases
mental right now,0,encouragingPhrases
nice all right,0,encouragingPhrases
nice come on,1,encouragingPhrases
nice work,0,encouragingPhrases
nice work guys,0,encouragingPhrases
nobody starts great,0,encouragingPhrases
not much in the tank,0,encouragingPhrases
not quitting,1,encouragingPhrases
perseverance,0,encouragingPhrases
personal best,0,encouragingPhrases
power power,0,encouragingPhrases
promise,3,encouragingPhrases
push push,0,encouragingPhrases
push together,1,encouragingPhrases
push yourself,2,encouragingPhrases
real stuff,0,encouragingPhrases
resilience,0,encouragingPhrases
right here with you,1,encouragingPhrases
stay engaged,0,encouragingPhrases
stay focused,0,encouragingPhrases
stay with me,6,encouragingPhrases
thank you,5,encouragingPhrases
thank you so much,1,encouragingPhrases
that was fun,2,encouragingPhrases
that's drive,0,encouragingPhrases
the enemy's coming,0,encouragingPhrases
the finish line,0,encouragingPhrases
these are tough,0,encouragingPhrases
this is hard,0,encouragingPhrases
this is it,3,encouragingPhrases
this might feel really new,1,encouragingPhrases
totally fine,2,encouragingPhrases
tough stuff,0,encouragingPhrases
warrior,0,encouragingPhrases
we got it,0,encouragingPhrases
we got this,0,encouragingPhrases
we're all there,0,encouragingPhrases
we've got this,0,encouragingPhrases
winner,0,encouragingPhrases
wonderful,0,encouragingPhrases
work through now,0,encouragingPhrases
work through,0,encouragingPhrases
you can do this,0,encouragingPhrases
you got it,1,encouragingPhrases
you got this,1,encouragingPhrases
you guys rock,1,encouragingPhrases
you still with me,1,encouragingPhrases
you will see the results,0,encouragingPhrases
you're doing great,2,encouragingPhrases
you're stronger,0,encouragingPhrases
you're tired,1,encouragingPhrases
you're with me,3,encouragingPhrases
you've got this,0,encouragingPhrases
your best,0,encouragingPhrases
your heart,0,encouragingPhrases
your life,0,encouragingPhrases
your strength,0,encouragingPhrases
squeeze these,0,inaccessibleLocations
show you,0,inaccessibleLocations
notice how,0,inaccessibleLocations
move this,0,inaccessibleLocations
side view,0,inaccessibleLocations
going here,0,inaccessibleLocations
end up here,0,inaccessibleLocations
out there,0,inaccessibleLocations
go here,1,inaccessibleLocations
stays here,1,inaccessibleLocations
this way,1,inaccessibleLocations
this plank,1,inaccessibleLocations
stay there,1,inaccessibleLocations
like this,4,inaccessibleLocations
stay here,1,inaccessibleLocations
their way,0,inaccessibleLocations
be here,0,inaccessibleLocations
here we are,0,inaccessibleLocations
here we,10,inaccessibleLocations
all the way out,0,inaccessibleLocations
look at,1,inaccessibleLocations
down here,0,inaccessibleLocations
over here,0,inaccessibleLocations
right here,1,inaccessibleLocations
right there,0,inaccessibleLocations
there we go,1,inaccessibleLocations
all out there,0,inaccessibleLocations
see your,0,inaccessibleLocations
a little bit more,2,subjectivePhrases
a little bit,14,subjectivePhrases
big reach,7,subjectivePhrases
everything active,1,subjectivePhrases
everything squeezed,1,subjectivePhrases
focus it,0,subjectivePhrases
form right,1,subjectivePhrases
good crisp movements,0,subjectivePhrases
good form,0,subjectivePhrases
keep it strong,3,subjectivePhrases
little bend,0,subjectivePhrases
little easier,0,subjectivePhrases
little explosion,1,subjectivePhrases
little harder,0,subjectivePhrases
nice and controlled,1,subjectivePhrases
nice and easy,3,subjectivePhrases
nice and flat,0,subjectivePhrases
nice and high,1,subjectivePhrases
nice and low,0,subjectivePhrases
nice and narrow,2,subjectivePhrases
nice and quick,1,subjectivePhrases
nice and small,0,subjectivePhrases
nice and stable,2,subjectivePhrases
nice and strong,3,subjectivePhrases
nice and tight,0,subjectivePhrases
nice and under control,0,subjectivePhrases
nice and wide,1,subjectivePhrases
nice strong,1,subjectivePhrases
powerfully,0,subjectivePhrases
really reach,1,subjectivePhrases
safe manner,0,subjectivePhrases
stay nice,0,subjectivePhrases
stay with it,0,subjectivePhrases
strong arm,0,subjectivePhrases
too much,0,subjectivePhrases
under control,0,subjectivePhrases
work it through,0,subjectivePhrases
working through,0,subjectivePhrases
works for you,0,subjectivePhrases
we are headed to,0,transitioning
we'll take it to,2,transitioning
we're back to,1,transitioning
we're changing,1,transitioning
we're doing,3,transitioning
we're going back to,6,transitioning
we're going back,6,transitioning
we're going into,4,transitioning
we're going to go back,1,transitioning
we're going to go,1,transitioning
we're going to,6,transitioning
we're gonna go to,3,transitioning
we're gonna go,8,transitioning
we're gonna do,1,transitioning
we're gonna move,0,transitioning
we're gonna,32,transitioning
we're moving into,1,transitioning
we've got another,1,transitioning
we've got some,0,transitioning
we're on to,0,transitioning
and we're straight in,0,transitioning
another combo,0,transitioning
do another,0,transitioning
going back to,6,transitioning
going into our,0,transitioning
going to go back,1,transitioning
gonna move straight into,0,transitioning
head to,0,transitioning
into the next,0,transitioning
it's coming next,0,transitioning
it's time for,1,transitioning
let's do,1,transitioning
march now,1,transitioning
now we're going up,1,transitioning
now we're going,10,transitioning
now I want you to,0,transitioning
now we're going,10,transitioning
right into the,0,transitioning
switch sides,1,transitioning
switch side,1,transitioning
then get up,0,transitioning
then I,0,transitioning
then we go to,0,transitioning
then we'll go,1,transitioning
then we'll,9,transitioning
then you're,2,transitioning
first we're,1,startingAnExercise
first workout,0,startingAnExercise
get right into it,1,startingAnExercise
we're getting ready,0,startingAnExercise
getting ready,0,startingAnExercise
getting right into it,0,startingAnExercise
here we go,8,startingAnExercise
join me now,12,startingAnExercise
we're gonna start off,1,startingAnExercise
start off,1,startingAnExercise
we're gonna start our,0,startingAnExercise
start our,0,startingAnExercise
we're gonna start with,0,startingAnExercise
we're going to start with,0,startingAnExercise
start with,0,startingAnExercise
starting off,0,startingAnExercise
the first exercise,0,startingAnExercise
we're going to start,0,startingAnExercise
we're starting,0,startingAnExercise
you ready,15,startingAnExercise
we are done,1,stoppingAnExercise
we're done,2,stoppingAnExercise
it's over,0,stoppingAnExercise
done okay,0,stoppingAnExercise
it is done,0,stoppingAnExercise
that's the end,0,stoppingAnExercise
we have five seconds,1,duration
we've got 40 seconds,0,duration
work for 20 seconds,1,duration
got 10 more seconds,0,duration
10 more seconds,1,duration
20 seconds of each,0,duration
20 seconds of,0,duration
20 seconds,2,duration
20 second,2,duration
30 second,1,duration
40 seconds of work,0,duration
40 seconds,0,duration
40 second,0,duration
last 60 seconds,0,duration
60 seconds,0,duration
almost done,0,duration
almost there,4,duration
can see the finish line,0,duration
five more seconds,2,duration
forty seconds here,0,duration
forty second,0,duration
getting close to the end,1,duration
halfway done,0,duration
more seconds left,0,duration
more seconds,5,duration
not done yet,2,duration
not much left,0,duration
not much time left,0,duration
second break,0,duration
seconds here,1,duration
got ten seconds,1,duration
ten seconds,4,duration
ten second,4,duration
twenty seconds,1,duration
twenty second,2,duration
we are almost there,0,duration
seconds,16,duration
