big breathes,2,breathing
big exhale,0,breathing
big inhale,0,breathing
breather,1,breathing
breathe,22,breathing
catch your breath,0,breathing
deep breaths,5,breathing
slow exhales,0,breathing
exhales,0,breathing
exhale,0,breathing
inhales,0,breathing
inhale,0,breathing
keep breathing,1,breathing
breathing,1,breathing
be determined,1,encouragingPhrases
be focused,1,encouragingPhrases
be strong,3,encouragingPhrases
believe in you,1,encouragingPhrases
best effort,4,encouragingPhrases
big desire,1,encouragingPhrases
big drive,1,encouragingPhrases
big effort,2,encouragingPhrases
big energy,1,encouragingPhrases
can do this,1,encouragingPhrases
channeling it,1,encouragingPhrases
come on squad,0,encouragingPhrases
come on,44,encouragingPhrases
coming for you,1,encouragingPhrases
couldn't do it without you,0,encouragingPhrases
crushing it,0,encouragingPhrases
designed to be tough,1,encouragingPhrases
determination,3,encouragingPhrases
doing great,0,encouragingPhrases
doing this together,0,encouragingPhrases
don't worry if,1,encouragingPhrases
drive come on,1,encouragingPhrases
effort,8,encouragingPhrases
every single second matters,1,encouragingPhrases
everybody's there,1,encouragingPhrases
everybody's with us,1,encouragingPhrases
everyone's doing great,0,encouragingPhrases
excellent job,0,encouragingPhrases
extra effort,1,encouragingPhrases
fantastic,2,encouragingPhrases
feeling good,2,encouragingPhrases
feeling the pain,1,encouragingPhrases
fight,1,encouragingPhrases
fighting through,0,encouragingPhrases
finishing strong,0,encouragingPhrases
focus on your goals,0,encouragingPhrases
game faces,1,encouragingPhrases
get that much better,0,encouragingPhrases
give it all,0,encouragingPhrases
good job,0,encouragingPhrases
good pain,1,encouragingPhrases
got plenty left,0,encouragingPhrases
got to do it,1,encouragingPhrases
got to find it,1,encouragingPhrases
got to put it in,1,encouragingPhrases
great job,2,encouragingPhrases
happy thoughts,0,encouragingPhrases
high fives,0,encouragingPhrases
how you feeling,1,encouragingPhrases
I can't keep up,0,encouragingPhrases
I need you,0,encouragingPhrases
I promise you,0,encouragingPhrases
I'm feeling it,0,encouragingPhrases
I'm just as tired,0,encouragingPhrases
it really counts,0,encouragingPhrases
it's about desire,1,encouragingPhrases
it's all mental,0,encouragingPhrases
it's intense,1,encouragingPhrases
keep getting it,0,encouragingPhrases
keep going,2,encouragingPhrases
keep it up,0,encouragingPhrases
keep stepping up,1,encouragingPhrases
keep working,4,encouragingPhrases
keep you moving,0,encouragingPhrases
know you can,1,encouragingPhrases
know you will,1,encouragingPhrases
let's dig,3,encouragingPhrases
let's do this,1,encouragingPhrases
let's get it,0,encouragingPhrases
let's go,7,encouragingPhrases
let's push,2,encouragingPhrases
let's work,6,encouragingPhrases
let's work this,1,encouragingPhrases
lucky to be here,1,encouragingPhrases
mental right now,0,encouragingPhrases
nice all right,0,encouragingPhrases
nice come on,0,encouragingPhrases
nice work,0,encouragingPhrases
nice work guys,0,encouragingPhrases
nobody starts great,0,encouragingPhrases
not much in the tank,2,encouragingPhrases
not quitting,0,encouragingPhrases
perseverance,1,encouragingPhrases
personal best,3,encouragingPhrases
power power,1,encouragingPhrases
promise,0,encouragingPhrases
push push,2,encouragingPhrases
push together,0,encouragingPhrases
push yourself,0,encouragingPhrases
real stuff,1,encouragingPhrases
resilience,1,encouragingPhrases
right here with you,0,encouragingPhrases
stay engaged,1,encouragingPhrases
stay focused,1,encouragingPhrases
stay with me,0,encouragingPhrases
thank you,0,encouragingPhrases
thank you so much,0,encouragingPhrases
that was fun,0,encouragingPhrases
that's drive,1,encouragingPhrases
