squeeze these
show you
notice how
see how
observe how
look how
view how
move this
move here
move there
side view
going here
going there
end up here
end up there
out there
out here
over here
over there
go here
go there
stay there
stays here
this way
that way
this plank
like this
like that
stay here
their way
be here
here we are
here we
all the way out
look there
look here
look at
up there
up here
down there
down here
right here
right there
all out there
see your
i'm here
you're here
we're here
you'll notice
you'll see
you notice
you see
i notice
i see
you can see
rest here
turn that
this slide
this side
hovering here
throwing it up there
through here
that stretch
notice this
see this
observe this
look this
view this
notice that
see that
observe that
look that
view that
notice there
see there
observe there
view there
notice here
notice
see here
observe here
view here
see
observe
view
show me
show us
