big breathes,0,brPhrase
big exhales,2,brPhrase
big exhale,6,brPhrase
big inhales,1,brPhrase
big inhale,5,brPhrase
breather,0,brPhrase
breathe,5,brPhrase
catch your breath,2,brPhrase
deep breaths,0,brPhrase
breaths,0,brPhrase
breath,11,brPhrase
slow exhales,1,brPhrase
exhales,4,brPhrase
exhale,8,brPhrase
inhales,1,brPhrase
inhale,5,brPhrase
keep breathing,0,brPhrase
breathing,2,brPhrase
keep on going,0,encouragingPhrases
stick with me,0,encouragingPhrases
smile,0,encouragingPhrases
finishing up strong,0,encouragingPhrases
finish strong,0,encouragingPhrases
doing well,0,encouragingPhrases
perfect,0,encouragingPhrases
you've got it,0,encouragingPhrases
you got it,1,encouragingPhrases
we've got it,0,encouragingPhrases
we got it,0,encouragingPhrases
good good work,0,encouragingPhrases
well done,0,encouragingPhrases
becomes mental,0,encouragingPhrases
whatever you need to get this done,0,encouragingPhrases
couldn't do it without you,0,encouragingPhrases
couldn't do it,0,encouragingPhrases
motivation,0,encouragingPhrases
I'm so excited,1,encouragingPhrases
we're so excited,0,encouragingPhrases
excited,1,encouragingPhrases
ton of fun,1,encouragingPhrases
lots of fun,0,encouragingPhrases
really fun,0,encouragingPhrases
great workout,1,encouragingPhrases
love having you,0,encouragingPhrases
loving having you,1,encouragingPhrases
so awesome,1,encouragingPhrases
so glad,3,encouragingPhrases
so super,1,encouragingPhrases
love this so much,1,encouragingPhrases
make it this week,1,encouragingPhrases
make it today,0,encouragingPhrases
enjoy this,0,encouragingPhrases
it's tough,0,encouragingPhrases
loving this,1,encouragingPhrases
love the energy,0,encouragingPhrases
loving that,0,encouragingPhrases
how are you,1,encouragingPhrases
so happy,0,encouragingPhrases
great job,0,encouragingPhrases
good job,1,encouragingPhrases
how well did you do,0,encouragingPhrases
how well did these guys do,0,encouragingPhrases
how you feeling,1,encouragingPhrases
how'd it go,0,encouragingPhrases
great session,0,encouragingPhrases
good session,0,encouragingPhrases
great work,1,encouragingPhrases
good work,0,encouragingPhrases
worked hard,0,encouragingPhrases
work hard,0,encouragingPhrases
it's okay,3,encouragingPhrases
it's always okay,0,encouragingPhrases
it's ok,3,encouragingPhrases
it's always ok,0,encouragingPhrases
earn it,0,encouragingPhrases
be determined,0,encouragingPhrases
be focused,0,encouragingPhrases
be strong,0,encouragingPhrases
believe in you,0,encouragingPhrases
best effort,0,encouragingPhrases
big desire,0,encouragingPhrases
big drive,0,encouragingPhrases
big effort,0,encouragingPhrases
big energy,0,encouragingPhrases
push hard,0,encouragingPhrases
can do this,0,encouragingPhrases
channeling it,0,encouragingPhrases
come on squad,4,encouragingPhrases
come on,49,encouragingPhrases
coming for you,0,encouragingPhrases
crushing it,2,encouragingPhrases
designed to be tough,0,encouragingPhrases
determination,0,encouragingPhrases
doing great,3,encouragingPhrases
doing this together,1,encouragingPhrases
don't worry if,0,encouragingPhrases
don't give up,0,encouragingPhrases
don't stop,0,encouragingPhrases
don't walk away,0,encouragingPhrases
drive come on,0,encouragingPhrases
effort,0,encouragingPhrases
every single second matters,0,encouragingPhrases
everybody's there,0,encouragingPhrases
everybody's with us,0,encouragingPhrases
everyone's doing great,1,encouragingPhrases
excellent job,0,encouragingPhrases
extra effort,0,encouragingPhrases
fantastic,0,encouragingPhrases
feeling good,4,encouragingPhrases
feels good,1,encouragingPhrases
feel good,1,encouragingPhrases
feeling the pain,0,encouragingPhrases
fight,0,encouragingPhrases
