start,4
get ready,0
getting ready,0
first round,3
and done,0
finishing,0
finished,0
we're done,2
are done,1
be done,1
is done,0
it's over,0
is over,0
allotted time period,0
time period,0
three two one,46
three two and one,0
3 2 1,0
3 2 & 1,0
one two,1
1 2,0
almost there,4
almost done,0
 second,17
 minute,0
time left,0
repetition,0
last one,14
last time,2
last round,3
one more,8
two more,8
three more,1
four more,0
five more,2
one time,0
two times,1
three times,2
four times,0
five times,0
going to,9
go over to,0
go ahead,4
move on,0
moving on,0
move to,0
moving to,0
next one,0
next up,0
we're on to,0
we are on to,0
repeat,0
again,6
now we,21
another,1
