the forward lunge ,1
butt kickers,1
add a bit of a hop,1
jumping jacks ,1
our jogs,1
balance,1
we are gonna go into a squat ,1
you can pump the march,1
high knees ,1
our jog,1
we're doing some reverse lunges,1
flat back ,2
dig one heel to the ground,2
keep your core tight,2
get the core nice and tight,2
toes out ,2
we're using that elbow as a lever ,2
you don't want your back getting loose,2
shake those arms,2
squeeze those abs in tight ,2
drive off those heels,2
squeeze your butt,2
curl abs in,2
right below your knees pop em and shrug,2
bend those knees,2
take that foot outside of your hand,2
square yourself to the shin,2
turn our hips back,2
keep those shoulders off the ground,2
so one leg is slightly bent,2
you can bring your hands up,2
keep your core engaged ,2
abs in tight ,2
get the cardio going abs working,2
peel yourself up and off the ground,2
stagger the foot,2
elbows in ,2
feet together ,2
slight bend in the leg,2
peel your hips off the ground ,2
weight in the heels ,2
one straight supporting leg flat ,2
keeping our core nice and tight,2
keep that posture tall,2
you can bend those knees a little bit,2
use those arms use your core,2
get low,3
we go to the other side,3
you're stepping back ,3
and back to the center ,3
drive it up,3
you've got that sidestep,3
don't allow them to break or compress in,3
you can put a little dip in there as well if you want,3
kick the other leg up touching your hand,3
alright switch it up other side,3
turn our hips back,3
bring it all the way down ,3
big reach up ,3
then you'll switch when I say,3
now we go to the other side,3
we're not breaking that straight line and hunching over,3
pull pull,3
all the way up,3
it comes right to the side,3
touch and raise,3
all the way out,3
forward,3
keep it forward,3
not swinging the weights,3
bring your knee up to a hip level,3
go up,3
we're gonna drop down,3
aim them right down the pipe,3
into the ground ,3
arms up ,3
feeling those abs start to work,4
make sure your core is engaged ,4
we're going to cool it down ,4
now cool it off ,4
make sure you're actually being really aware of your body right now,4
so heart rates probably up on this one,4
dumbbells back down,5
set those weights down ,5
you can have weights with you,5
feel free to adjust the weight,5
you are gonna grab those dumbbells again ,5
you make sure to up the weight,5
start with a run,6
okay are you ready,6
we're starting off,6
and done okay,7
20 seconds,8
three two one let's go 40 seconds,8
that was 40 seconds of work,8
and 20 seconds of your choice of stars,8
just 10 more seconds left on this one,8
so it's a quick 20 second break,8
three two and one ,9
we have five come on four three two one and plank hold,9
here we go three two one jump it up jump it down,9
bring it up down four three two one reset,9
three two one let's go 40 seconds,9
slow slow slow control it,9
three two one and punch,9
three two one stars let's go,9
down four three push energy through your heels two one,9
four three two one and done okay,9
come on three two one relax,9
so fast pace,9
and coming forward in three two one,9
you can just speed it up,9
last five,10
last one after this,10
we are only moving through two different movement patterns,10
alright last one okay,10
we're doing this two times,10
other side row it back down ,10
we'll take it to two different movement patterns here,11
it's time for our finisher,11
alright so now we're going up to those hinges,11
then we'll go with a little core,11
then I want to see punches,11
we're going to go back to those ,11
we're gonna go to a nice little core set,11
we've got another litter little finisher,11
keep 12,12
yeah there we go catch your breath,12
get your breath slowed down a little bit,12
big inhale big exhale team are you with  me,12
I'm gonna take a little breather to,12
believe in yourself,13
I know you're tired but I'm right here with you,13
come on come on,13
I know this is hard ,13
you're doing great come on up come on come on,13
nice work good,13
I'm just as tired as you guys are come on,13
good work Wade loving that extra effort,13
this is tough stuff this is real stuff,13
everybody's there everybody's with us,13
