ORIGINAL_WORD,START_TIME,END_TIME
hey,0.01,0.13
everybody,0.13,0.66
it's,0.74,0.92
your,0.92,1.1
personal,1.1,1.54
trainer,1.54,1.94
coach,1.94,2.21
Kozak,2.23,2.71
here,2.71,2.86
from,2.86,3.03
HASFIT,3.03,3.59
And,3.66,3.85
I'm,3.85,4.0200000000000005
Claudia,4.02,4.529999999999999
and,4.55,4.74
this,4.74,4.83
is,4.83,4.95
our,4.95,5.0600000000000005
beginner,5.06,5.539999999999999
weight,5.54,5.7700000000000005
training,5.77,6.09
routine,6.09,6.57
this,6.79,7.0
routine,7.0,7.29
is,7.29,7.39
great,7.39,7.699999999999999
for,7.7,7.81
both,7.81,8.059999999999999
men,8.08,8.51
and,8.54,8.909999999999998
women,8.91,9.31
of,9.45,9.65
a,9.65,9.7
beginner,9.7,10.13
fitness,10.13,10.6
level,10.599999,10.999999
the,11.09,11.23
only,11.23,11.46
equipment,11.469999,11.759999
required,11.8,12.31
for,12.309999,12.439999
this,12.44,12.65
workout,12.65,13.24
is,13.45,13.71
a,13.71,13.78
pair,13.78,14.05
of,14.049999,14.189999
dumbbells,14.19,14.83
now,15.04,15.23
that,15.23,15.53
weight,15.82,16.23
of,16.25,16.41
the,16.41,16.49
dumbbells,16.49,17.049999999999997
is,17.049999,17.219999
going,17.219999,17.259999
to,17.26,17.28
be,17.289999,17.449999000000002
totally,17.449999,18.119999
determined,18.27,18.85
by,18.85,19.16
your,19.19,19.4
current,19.41,19.75
fitness,19.75,20.17
level,20.17,20.520000000000003
just,20.67,21.0
remember,21.0,21.5
it's,21.51,21.74
much,21.76,22.32
better,22.63,23.12
to,23.12,23.31
start,23.31,23.71
light,23.71,24.01
and,24.03,24.34
work,24.34,24.65
your,24.65,24.77
way,24.77,25.06
up,25.06,25.32
than,25.54,25.86
the,25.86,25.97
other,25.99,26.28
way,26.28,26.540000000000003
around,26.54,26.98
the,27.15,27.28
only,27.55,27.9
other,27.9,28.12
equipment,28.130000000000003,28.480000000000004
that,28.48,28.59
you,28.59,28.72
may,28.719999,28.909999000000003
want,28.91,29.16
for,29.16,29.28
this,29.28,29.450000000000003
workout,29.45,29.92
is,30.11,30.37
a,30.37,30.45
chair,30.45,30.96
or,30.99,31.270000000000003
a,31.27,31.33
box,31.33,31.96
for,31.969999,32.219999
some,32.219999,32.389999
of,32.389999,32.469999
the,32.469999,32.539999
modified,32.54,33.17
movements,33.179999,33.739999000000005
we're,34.07,34.2
going,,
to,,
do,34.379999,34.529999
the,34.529999000000004,34.639999
whole,34.639999,34.919999000000004
thing,34.93,35.21
with,35.209999,35.419999
you,35.42,35.620000000000005
ready,36.0,36.32
to,36.32,36.37
get,36.37,36.56
this,36.56,36.75
thing,36.76,36.97
going,36.97,37.34
all,37.35,37.49
right,37.49,37.760000000000005
we're,37.87,38.02
going,38.02,38.1
to,38.1,38.16
start,38.17,38.510000000000005
with,38.51,38.78
either,38.96,39.25
a,39.25,39.38
dumbbell,39.4,39.97
crusher,40.01,40.67
or,40.95,41.5
a,41.88,42.24
dumbbell,42.69,43.18
t,43.21,43.5
row,43.5,43.77
so,43.79,44.07
if,44.25,44.64
you,44.74,44.97
want,,
to,45.16,45.18
do,45.179999,45.289999
the,45.29,45.42
easier,45.42,45.75
modified,45.75,46.26
versions,46.26,46.73
you,46.73,46.830000000000005
go,46.83,46.93
and,46.929999,47.069999
follow,47.07,47.35
Claudia,47.349999,47.729999
she's,47.73,47.940000000000005
going,48.23,48.27
to,48.27,48.29
be,48.3,48.41
using,48.41,48.83
one,48.83,49.15
dumbbell,49.15,49.6
I'm,49.62,49.81
going,,
to,,
use,49.98,50.290000000000006
two,50.29,50.68
so,50.92,51.29
that's,51.79,52.02
the,52.02,52.13999999999999
main,52.15,52.7
difference,52.699999,53.229999
I'm,53.369999,53.519999
going,53.549999,53.589999
to,53.59,53.67
squeeze,53.68,54.25
these,54.25,54.5
together,54.5,55.06
and,55.06,55.150000000000006
I'm,55.15,55.23
going,55.27,55.31
to,55.31,55.43
pull,55.46,55.94
back,55.95,56.470000000000006
and,56.87,57.06
Claudia,57.06,57.330000000000005
is,57.33,57.44
just,57.44,57.55
going,,
to,,
interlock,57.94,58.36
her,58.39,58.57
fingers,58.57,59.14
and,59.16,59.34
pull,59.34,59.540000000000006
back,59.54,59.86
either,59.91,60.13999999999999
way,60.14,60.35
we're,60.35,60.51
both,60.52,60.84
pulling,60.84,61.09
back,61.1,61.42
on,61.49,61.75
our,61.75,61.88
elbows,61.89,62.65
keeping,63.57,63.78
those,63.78,63.93
elbows,63.95,64.35000000000001
tucked,64.42,64.75
in,64.75,64.93
nice,64.929999,65.159999
and,65.16,65.3
tight,65.3,65.55
to,65.55,65.57
the,65.59,65.7
body,65.7,66.04
pulling,66.07,66.35
