ORIGINAL_WORD,GENTLE_GENERATED,START_TIME,END_TIME
hey,hey,5.71,5.7299999999999995
guys,guys,5.73,5.890000000000001
welcome,welcome,6.16,6.37
back,back,6.54,6.84
so,so,6.84,7.07
today,today,7.07,7.37
I,i,7.44,7.45
thought,thought,7.45,7.51
is,is,7.77,7.909999999999999
a,a,7.99,8.200000000000001
full,full,8.28,8.569999999999999
body,body,8.71,8.870000000000001
workout,workout,8.87,9.229999999999999
that's,that's,9.37,9.469999999999999
gonna,gonna,9.469999,9.659999
work,work,9.66,9.9
multiple,multiple,9.98,10.540000000000001
muscle,muscle,10.55,10.96
groups,groups,11.0,11.26
at,at,11.32,11.48
the,the,11.48,11.51
same,same,11.509999,11.769999
time,time,11.79,12.11
it's,it's,12.46,12.590000000000002
also,also,12.69,13.129999999999999
gonna,gonna,13.13,13.32
help,help,13.32,13.52
you,you,13.549999,13.709999
to,to,13.71,13.83
burn,burn,13.83,14.17
fat,fat,14.799999,14.889999
this,this,15.7,15.92
workout,,,
is,is,15.92,16.04
part,,,
of,,,
a,,,
lean,,,
dance,,,
program,,,
and,,,
you,,,
can,,,
find,,,
the,,,
full,,,
schedule,,,
over,,,
here,,,
now,,,
don't,,,
forget,,,
to,,,
snap,,,
some,,,
progress,,,
photos,,,
and,,,
videos,,,
so,,,
you,,,
can,,,
share,,,
it,,,
with,,,
the,,,
rest,,,
of,,,
us,,,
and,,,
also,,,
hit,,,
that,,,
thumbs,,,
up,,,
button,,,
subscribe,,,
internal,,,
caches,,,
and,,,
let's,,,
get,,,
started,,,
we,,,
have,,,
24,<unk>,16.05,16.06
exercises,exercises,16.06,16.15
today,today,16.15,16.49
most,most,16.52,16.689999999999998
exercises,exercises,16.859999,17.449999
are,are,17.529999,17.539999
30,<unk>,17.539999,18.539999
seconds,,,
with,,,
five,,,
seconds,seconds,18.85,19.23
rest,rest,19.23,19.42
in,in,19.43,19.509999999999998
between,between,19.51,20.0
let's,let's,20.29,20.48
start,start,20.48,20.78
with,with,20.78,20.94
butt,,,
kickers,,,
kick,kick,21.25,21.46
up,up,25.58,25.709999999999997
your,your,25.71,25.79
legs,legs,25.79,26.04
behind,behind,26.04,26.419999999999998
you,you,26.42,26.44
fast,fast,27.27,27.32
load,load,27.32,27.37
and,and,27.54,27.71
bring,bring,27.719999,27.939999
up,up,27.939999999999998,28.11
the,the,28.11,28.25
speed,speed,28.25,28.64
for,for,29.059998999999998,29.199999
low,low,29.2,29.38
impact,impact,29.380000000000003,29.800000000000004
you,you,29.84,29.96
can,can,29.96,30.11
just,just,30.11,30.4
take,take,30.4,30.59
it,it,30.59,30.72
slow,slow,50.209999999999994,50.239999999999995
now,now,55.08,55.239999999999995
with,with,55.24,55.480000000000004
lunch,lunch,55.54,55.93
tab,tab,55.93,56.21
lunch,lunch,56.28,56.64
slightly,slightly,56.64,57.05
to,to,57.05,57.19
one,one,57.19,57.43
side,side,57.43,57.71
and,and,60.14,60.25
touch,touch,80.36,80.53999999999999
your,your,90.769998,90.859998
toe,,,
with,,,
your,,,
opposite,,,
hand,,,
now,,,
we,,,
have,,,
snowboarding,<unk>,91.029999,91.309999
jump,jump,91.34,91.63000000000001
squats,squats,91.63,91.88
Luis,,,
squats,,,
and,,,
take,,,
a,,,
90,,,
degrees,,,
jump,,,
to,,,
the,,,
other,,,
side,,,
then,,,
do,do,92.27,92.49
another,another,92.49,92.58999999999999
squat,squat,92.59,92.98
and,and,93.12,93.23
repeat,repeat,97.45,97.69
for,for,97.89,97.96000000000001
low,low,98.13,98.25999999999999
impact,impact,98.26,98.65
you,you,98.65,98.67
can,,,
just,,,
do,,,
the,the,99.309999,99.419999
squat,squat,99.42,99.59
get,get,125.0,125.23
ready,ready,125.23,125.54
for,for,125.54,125.71000000000001
some,some,125.75,126.11
high,high,126.24000000000001,126.48
knees,knees,126.48,126.71000000000001
bring,bring,126.92,127.09
your,your,127.09,127.2
knee,knee,127.2,127.41000000000001
up,up,127.46000000000001,127.64
to,to,127.64,127.84
a,,,
hip,,,
level,level,128.24,128.65
and,and,128.96,129.03
get,get,129.06,129.25
your,your,129.25,129.39
core,core,129.46,129.8
and,and,129.85,129.88
do,do,130.03,130.18
it,it,130.18,130.26000000000002
as,as,130.27,130.53
fast,fast,130.64,130.85999999999999
as,as,130.93,131.11
you,you,131.11,131.22000000000003
can,can,131.22,131.54
you,you,131.63,131.85999999999999
can,can,131.86,132.19000000000003
do,do,132.2,132.45999999999998
it,it,132.46,132.74
for,for,133.02,133.19
low,low,133.2,133.39
impact,impact,133.39,133.80999999999997
just,just,133.87,134.17000000000002
raise,raise,134.17,134.38
the,the,134.38,134.45
knee,knee,134.45,134.66
up,up,134.7,134.88
without,without,134.889999,135.219999
the,the,135.22,135.34
jump,jump,160.949999,160.989999
now,now,160.99,161.01
we,we,161.01,161.03
have,,,
double,,,
hop,hop,161.199999,161.449999
burpees,<unk>,161.68,161.82
starting,starting,162.62,162.76
high,high,162.93,163.20000000000002
playing,playing,163.2,163.53
then,then,163.53,163.7
jumbo,jumbo,163.7,164.08999999999997
feet,feet,164.09,164.31
in,in,164.36,164.66000000000003
and,,,
out,,,
and,and,165.33,165.48000000000002
eat,eat,165.51,165.73
again,again,165.73,166.14999999999998
then,then,166.17,166.39
get,get,166.4,166.65
up,up,166.65,166.86
and,and,167.31,167.52
do,do,167.52,167.72
another,another,167.77,168.11
jump,jump,168.11,168.37
off,off,168.46,168.66
the,the,168.66,168.68
ground,ground,168.79,169.20999999999998
for,for,169.63,169.81
low,low,169.82,170.03
impact,impact,170.03,170.46
just,just,170.46,170.67000000000002
do,do,170.74,170.9
burpees,<unk>,170.95,171.11999999999998
with,with,171.52999999999997,171.55999999999997
other,other,171.55999999999997,171.7
job,,,
now,now,195.24,195.58
we,we,195.589999,195.709999
have,have,195.71,195.82000000000002
jumping,jumping,195.88,196.35999999999999
jacks,jacks,196.369999,196.689999
let's,let's,197.02,197.24
do,do,197.24,197.43
this,this,197.43,197.58
as,as,198.209999,198.369999
fast,,,
as,,,
you,you,198.369999,198.47999900000002
can,can,198.48,198.79
and,and,198.82999999999998,198.92999999999998
make,make,198.99,199.23000000000002
sure,sure,199.23,199.54
your,your,200.26999999999998,200.29999999999998
coils,coils,200.29999999999998,200.34
tight,tight,200.34,200.54
work,work,201.03,201.44
those,those,201.47,201.88
muscles,muscles,201.92999999999998,202.09
now,now,230.299999,230.62999900000003
we,we,230.63,230.72
have,have,230.719999,230.849999
squat,squat,230.849999,231.189999
with,with,231.19,231.35999999999999
oblique,oblique,231.429999,231.879999
crunch,crunch,231.889999,232.039999
for,for,232.289999,232.399999
one,one,232.4,232.86
whole,whole,232.869999,233.179999
minute,minute,233.18,233.48000000000002
squat,squat,234.01,234.26999999999998
down,down,234.58999999999997,234.61999999999998
and,and,234.61999999999998,234.76
do,do,234.76,234.86999999999998
a,a,234.86999999999998,234.95
twister,twister,234.95,235.36999999999998
punch,punch,235.36999999999998,235.79999999999998
as,,,
you,,,
get,,,
up,,,
this,this,236.76,236.94
works,works,236.98,237.25
your,your,237.25,237.37
legs,legs,237.37,237.72
butt,butt,238.07,238.32
and,and,238.51,238.54
abs,abs,238.57999999999998,238.81
at,at,239.09,239.10999999999999
the,the,239.10999999999999,239.13
same,same,239.13,239.16
time,time,239.16,239.19
super,super,239.95,240.22
amazing,,,
all,,,
right,,,
now,,,
we,,,
have,,,
a,,,
15,<unk>,296.38,296.54
seconds,seconds,296.54,296.97
break,break,296.97,297.32000000000005
and,,,
you,,,
can,,,
take,,,
a,a,298.07,298.09
longer,longer,298.09,298.38
break,break,298.38,298.67
if,if,298.67,298.79
you,you,298.79,298.90000000000003
want,want,298.9,299.12
to,to,299.12,299.14
we,we,299.65999999999997,299.71999999999997
have,have,299.71999999999997,299.75
push,push,299.92,300.21000000000004
up,up,300.21,300.40999999999997
toe,toe,301.72999999999996,301.76
tap,tap,301.76,301.78999999999996
next,,,
start,,,
with,with,302.02,302.09
push,push,302.09,302.39
up,up,302.389999,302.589999
and,and,302.62,302.8
then,then,302.799999,302.96999900000003
touch,touch,302.969999,303.24999899999995
your,your,303.25,303.36
toe,toe,303.36,303.64
with,with,303.639999,303.799999
your,your,303.799999,303.889999
opposite,opposite,303.94,304.35
hand,hand,304.35,304.72
if,if,304.789999,304.909999
you,you,304.91,304.98
can't,can't,304.99,305.18
do,do,305.18,305.3
a,a,305.299999,305.379999
regular,regular,305.379999,305.739999
push,push,305.74,306.04
up,,,
you,you,306.24,306.34000000000003
can,can,306.34,306.45
start,start,306.449999,306.759999
with,with,306.76,306.89
just,just,306.949999,307.249999
toe,toe,307.25,307.44
tap,tap,307.46999900000003,307.70999900000004
only,only,308.74999900000006,308.909999
that,that,309.44999900000005,309.479999
eventually,,,
you,,,
can,,,
add,,,
some,,,
push,push,309.7,309.87
ups,ups,309.87,310.01
or,or,310.23,310.47
you,you,310.47,310.65000000000003
can,can,310.65,310.77
try,try,310.77,311.01
knee,knee,311.01,311.21
push,push,311.29,311.47
ups,ups,311.47,311.5
now,now,340.35,340.6
flip,flip,340.629999,340.869999
around,around,340.869999,340.999999
and,and,341.199999,341.22999899999996
have,have,341.399999,341.42999899999995
your,your,341.42999899999995,341.459999
elbow,elbow,341.709999,342.10999899999996
resting,resting,342.10999899999996,342.43999899999994
on,on,342.43999899999994,342.459999
a,a,342.63,342.7
mat,mat,342.7,343.03
we,we,343.32,343.34
are,are,343.34,343.34999999999997
doing,doing,343.35,343.6
bicycles,bicycles,343.66,344.23
next,next,344.23,344.36
this,this,344.94,345.17
works,works,345.46,345.71
your,your,345.71,345.73999999999995
abs,abs,345.74,345.87
so,so,346.45,346.71
keep,keep,346.75,347.05
pushing,pushing,347.13,347.27000000000004
now,now,375.37,375.64
we,we,375.649998,375.749998
have,,,
up,up,375.92,376.14000000000004
and,and,376.139999,376.269999
down,down,376.289999,376.539999
with,with,376.539999,376.599999
two,two,376.77,376.96
jacks,jacks,377.24,377.62
make,make,377.779999,377.949999
sure,sure,377.949999,378.169999
your,your,378.289999,378.319999
core,core,378.319999,378.659999
is,is,378.659999,378.77999900000003
engaged,engaged,378.82999900000004,379.499999
come,,,
on,,,
guys,guys,379.98,380.36
you,you,380.41,380.59000000000003
can,can,380.64000000000004,380.8
do,do,380.8,381.00000000000006
it,it,381.00000000000006,381.09000000000003
now,now,410.469999,410.709999
we,we,411.07,411.19
have,have,411.19,411.21999999999997
be,be,411.4,411.63
up,up,411.63,411.87
with,with,411.929999,412.08999900000003
straight,straight,412.26,412.55
leg,leg,412.549999,412.799999
crunch,crunch,412.799999,412.96999900000003
try,try,413.619999,413.809999
your,your,413.809999,413.889999
best,,,
to,,,
do,,,
this,this,414.45,414.55
in,in,414.74,414.88
good,good,414.88,415.06
form,form,415.06,415.1
and,and,415.57,415.7
I,i,415.7,415.78
hope,hope,415.78,416.09999999999997
your,your,416.1,416.24
ass,ass,416.31,416.59
is,is,416.59,416.71999999999997
on,on,445.63,445.65
fire,fire,445.65,445.67999999999995
right,right,445.67999899999995,445.709999
now,now,445.71,445.72999999999996
mountain,,,
climbers,,,
is,,,
next,next,446.589999,446.98999899999995
tighten,tighten,447.16,447.51000000000005
up,up,447.509999,447.669999
their,their,447.67,447.83000000000004
ass,ass,447.9,448.16999999999996
and,and,448.33,448.46
crank,crank,448.459999,448.869999
up,up,448.869999,449.049999
the,the,449.049999,449.169999
speed,speed,449.25,449.51
guys,guys,449.559999,449.769999
we're,we're,450.1,450.31
halfway,halfway,450.539999,450.77999900000003
through,through,450.779999,451.019999
the,the,451.02,451.15999999999997
workout,workout,451.16,451.77000000000004
let's,let's,451.85,452.18
smash,smash,452.49,452.61
this,this,452.61,452.92
next,next,480.43,480.58000000000004
we,we,480.58000000000004,480.70000000000005
side,side,481.189999,481.289999
plank,plank,481.46,481.85999999999996
with,with,481.86,482.06
a,a,482.059999,482.149999
kick,kick,482.29,482.52000000000004
down,down,482.679999,483.02999900000003
tabletop,tabletop,483.03,483.65999999999997
with,with,483.759999,483.929999
the,the,485.059999,485.079999
Cape,cape,485.079999,485.109999
start,start,485.109999,485.159999
in,in,485.199999,485.359999
