PHRASE,START,END
hey,14.219999,14.389999
guys it's Kelly from Fitness Blender dot com and today I have a body weight only cardio workout for you,16.879999,18.89
we're going to be doing 45 seconds on with 15,19.13,20.99
seconds reps and then A B A B format,21.44,23.82
I've included your warmup and your cooldown so let's go ahead and get started,24.06,27.42
alright so we've got a built in warmup we're gonna start off with that 45 on 15 seconds rest,28.66,34.149999
structure,34.659999,35.169999000000004
but we're going to start nice and light so that we,35.480000000000004,37.43
like I said we have a built in warmup so go ahead and get your feet moving we're gonna start off with sidestep jacks so nice and light start on one side just step,37.81,42.46
out,46.8,47.13
and so you're doing,47.41,48.1
the motion of a jumping jack with your arms but you're just kind of tapping lightly,48.48,51.74
from side to side instead of jumping,52.049999,53.77000099999999
so increasingly these intervals are gonna get,57.120001,59.49
sweatier and,60.06,60.900000000000006
sweatier his first little bunch is quite,61.73,63.549999
easy while our muscles are warming up,63.94,65.98
after that it's gonna turn into a sweat best hopefully,66.44,68.80999899999999
we're halfway,70.4,71.23
good start to pick up the speed as you get comfortable as you start to throw your body warm up,74.74000000000001,78.5
ten seconds,80.48,81.0
five,86.299999,87.009999
all right so 15 seconds rest,90.489999,92.18
remember to always keep your feet moving,92.6,94.35
never want to be still doing this so,96.61,98.16
at least a boxer shuffle you can always make it harder if you need to we're doing those,98.44,101.7
kind of forces you to get a good stretch to all the way down,116.009999,118.749999
lower yourself,122.17,123.35
up squeeze your glutes,124.23,125.789999
push back up,126.82,127.45
so if you're not very flexible you can always come here,128.67,131.38
bend your knees until you can get to the floor,131.79,133.95
your hamstrings are tight,134.91,136.509999
ten seconds left,140.37,141.17
five seconds,145.78,146.67
all right,150.94,151.43
now we're going back to that second round,152.32,153.98
of those,154.23,154.94
sidestep jacks so keep your feet moving,155.66,157.86
for a little arm work in there as well for that warm up,158.87,161.33999999999995
two,163.95,164.35
one here we go,164.98,165.92
just side to side,166.59,167.67000000000002
enjoy the easy stuff won't last,169.26,170.95
make sure you're sitting up nice and tall,178.57999999999998,180.04999999999998
to make you good posture while you're doing these exercises,181.139999,183.57
make sure you're not,186.27,186.97
doing kind of half,188.15,189.34
half hearted jumping jack motion keep your arms straight,189.809999,192.349999
try to move slower if you have to,192.69,194.579999
and get the full range of motion instead of doing a quick,195.33,197.839999
no,198.83,199.11
not full effort version,199.51,200.95
10,201.91,201.92
seconds left,202.22,202.77
to,209.01,209.41000000000005
one all right get this key moving,209.75,212.26
putting down into those,213.58,214.66
walk down,215.33,215.84
back bows,216.22,216.47
five seconds,221.16,221.89
two,223.96,224.39
one,224.809999,225.299999
here we go,225.849999,226.38
I know I use,235.21,235.95
variation of walk downs and my routines often because I love them,236.44,239.72
they feel good but they work so many different muscles,240.61,243.18
there's a lot of different ways you can modify them,244.42,246.319999
about 20 seconds left 10 seconds to 1 all,246.669999,248.94
right so next up,271.069999,271.98
we are doing,272.19,272.78000000000003
two knee pulls so we're still,273.02,274.56
and that low impact lower intensity warmup period but we're going to start picking up here,275.01,279.61
after this so,280.27,281.08
again,281.38,281.74
if this is too easy step up the intensity of your rest,282.219999,284.97
otherwise,285.94,286.49
here we are so we're,286.799999,287.58999900000003
one,288.07,288.43
two,288.65,288.79
one,289.34,289.73
two so this is nice and low impact if,290.26,292.09
you want to step it up mm hmm,292.5,293.94
just,294.29,294.59000000000003
add in some jumps you can always make things easier,295.85,299.159999
or harder as you need to,299.679999,300.799999
otherwise,304.209999,304.699999
we just hear,305.309999,305.919999
all about what works for you,306.96999900000003,308.23
go over halfway done,309.85,310.75
try to get a little crunch,315.139999,316.5
flex your core while you're doing this is definitely an abs exercise,317.0,320.56
as well as a cardio exercise,321.63,323.14999900000004
about five seconds left,325.41,326.61
all,329.68999999999994,329.71
right next up we're doing a lunge plus a rotation,331.80999999999995,334.24
five seconds,340.75,341.34
left,341.56,342.04
here we go so we drop down into that lunge,345.1,347.21
rotate,347.57,348.24
rotate,348.85,349.47
in the center we just come back up,349.81,351.27999900000003
so your legs are probably,352.13,353.38000000000005
can you start burning,353.69,354.879999
we are holding that,355.53,356.49999899999995
lunge,357.29,357.85
you're also working your core,358.58,359.86
about halfway already if,370.25,371.55
you're not feeling very warmed up yet or if you're new to exercise,372.15,375.45
you can just keep your lunge nice and shallow and just kind of step forward,375.92,379.46
instead of a really deep lunge,380.78,382.35
but if you want to make it harder,382.58,383.78
sink down into it,384.74,385.64
I'm here,385.92,386.53
here,387.08,387.53
center,387.96,388.38
two,389.58,389.77
one all right fifteen seconds rest,390.23,393.63
so if you're not sweating at all,395.02,396.44
you know we're several minutes and at this point,396.81,398.49
we're quite good ways in so you can start to really step up those intensities,399.12,402.64
of both the intervals and your rest periods all,403.76,405.73
right,406.969999,407.219999
knee pulls,407.469999,408.17
