PHRASE,START,END
hey everybody it's your personal trainer coach Kozak here from HASFIT And I'm Claudia and this is our beginner weight training routine this routine is great for both men and women of a beginner fitness level the only equipment required for this workout is a pair of dumbbells now that weight of the dumbbells is going to be totally determined by your current fitness level just remember it's much better to start light and work your way up than the other way around the only other equipment that you may want for this workout is a chair or a box for some of the modified movements we're going to do the whole thing with you ready to get this thing going all right we're going to start with either a dumbbell crusher or a dumbbell t row so if you want to do the easier modified versions you go and follow Claudia she's going to be using one dumbbell I'm going to use two ,0.01,51.29
that's the main difference I'm going to squeeze these together and I'm going to pull back and Claudia is just going to interlock her fingers and pull back either way we're both pulling back on our ,51.79,62.65
keeping those elbows tucked in nice and tight to the body pulling back we're keeping our core tight and straight and our upper body is on a 45 degree ,63.57,72.9
now we're not going to count any repetitions today I just want you to try to perform as many moves as you can in allotted time ,73.48,81.51
work at your own pace but at the same time be sure to push yourself because nobody else can do it for ,82.179999,87.75999900000001
,88.940001,89.410001
nice ,90.02,90.699999
keep it going pulling back on those elbows keeping them tight to your body in five four ,91.47,98.69
two and one okay we're going to go to the ground for the next one it's going to be a combo ,99.25,104.709999
we're going to need both weights for this ,105.75,107.99
we're going to do a hip up plus chest press we're going to drive off our heels and at the same time we're going to press the dumbbell straight up and back ,108.889999,117.75
getting a lot of ,118.29,119.809999
body parts worked in this one so we're getting your hamstrings your glutes your lower back your abs chest shoulders triceps the list goes on but it's a very efficient movement getting a lot of work in in a short period of ,120.639999,136.33999999999995
drive off those heels squeeze the gluts up at the top try your best not to hyperextend your back to just come up until your upper body is in this nice straight ,136.889999,146.11
and make sure not to bounce your arms off the ground ,146.74,149.51
nice work breathe one right into the ,150.17,154.53999900000002
moving at a pace that you feel comfortable ,155.099999,157.609999
you got ,158.73,159.33999999999995
almost ,160.74,161.45
let's go five more seconds on this ,162.77,165.04000000000002
and ,166.08,167.1
,167.65,168.21
,168.94,169.59
one and done okay we're on to our feet for the next ,170.23,174.67
need both weights ,175.719999,177.2
we're going to either do a stiff leg deadlift plus shrug or Claudia is going to show you an RDL which stands for Romanian deadlift I didn't make that ,177.98,186.24
plus ,186.76,187.62
either way we're going to put our weight back in our hips little bend the knee I'm going to go all the way down and I'm going to bring my hips forward and shrug Claudia's just going to come and bring her hands just below her knees and then repeat that same ,188.66,202.33
so ,202.87,203.21
driving our hips ,203.87,206.04
all the way up hips forward and then shrug bringing your shoulders up to your ,207.66,213.78
feel that stretch in your hamstrings if you're not feeling a stretch in the back of your leg then I want to make ,215.26,220.87
you are driving those hips ,222.1,223.96
just a little bend in those ,225.17,227.21
and hips go ,228.46,229.949999
again another combo ,230.639999,232.28
this one we are getting hamstrings glutes lower back and your ,233.119999,237.55
,238.05,238.52
and notice how both of us are keeping our backs nice and straight on this movement so we're ,239.26,244.02
breaking that straight line and hunching over but keeping our back straight while we're kicking those hips back you got ,244.719999,251.96
almost done with this one five four ,252.48,256.74
