ORIGINAL_WORD,START_TIME,END_TIME
hi,3.99,4.21
be,4.23,4.390000000000001
fitters,4.62,4.9
I'm,5.15,5.380000000000001
your,5.38,5.54
coach,5.56,5.88
today,5.88,6.26
Allie,6.31,6.609999999999999
Cohen,6.61,6.74
did,7.0,7.09
you,,
know,,
protein,,
can,,
help,,
muscle,,
recovery,,
after,,
workout,,
check,,
out,,
be,,
fit,,
whey,,
protein,,
and,,
get,,
your,,
own,,
at,,
be,,
fit,,
calm,,
you,7.39,7.55
ready,7.55,7.81
to,7.81,7.909999999999999
get,7.91,8.16
sweaty,8.17,8.71
I,8.86,9.03
have,9.03,9.22
a,9.22,9.34
quick,9.41,9.77
10,9.82,10.03
minute,10.03,10.2
workout,10.21,10.63
for,10.63,10.73
you,10.73,10.86
today,10.86,11.32
it,11.86,12.03
has,12.03,12.26
four,12.33,12.64
circuits,12.639999,13.219999
two,13.549999,13.799999
strength,13.86,14.24
moves,14.4,14.67
and,14.94,15.16
one,15.16,15.37
cardio,15.37,15.79
move,15.83,16.09
you,16.699999,16.839999
guys,16.84,17.13
ready,17.129999,17.399999
to,17.4,17.5
go,17.5,17.71
let's,18.539999,18.829999
do,18.83,19.04
it,19.04,19.28
all,19.63,19.8
right,19.8,20.04
we're,20.05,20.19
going,,
to,,
start,20.39,20.65
with,20.65,20.79
a,20.79,20.86
warm,20.86,21.2
up,21.2,21.44
we're,21.73,21.85
going,,
to,,
go,22.07,22.27
into,22.27,22.66
a,22.66,22.76
wide,22.76,23.14
squat,23.88,24.3
squat,,
right,24.3,24.51
here,24.51,24.91
feet,25.27,25.5
back,25.51,25.78
in,,
the,26.07,26.09
center,26.09,26.47
and,26.74,26.930000000000003
then,26.929999,27.199999
one,27.21,27.57
to,27.57,27.7
the,27.7,27.85
other,27.849999,28.119999
side,28.12,28.48
good,28.53,28.81
so,28.83,28.9
you're,28.92,29.03
doing,29.03,29.35
one,29.349999,29.629999
right,29.630000000000003,29.980000000000004
and,30.24,30.42
one,30.42,30.65
left,30.65,30.83
let's,31.62,31.93
go,31.929999,32.239999000000005
to,32.87,32.96
the,32.96,33.08
side,33.08,33.59
good,34.389999,34.789999
give,35.239999999999995,35.379999999999995
me,35.379999,35.499998999999995
that,35.5,35.69
squat,35.75,36.07
we're,36.07,36.17
just,36.17,36.440000000000005
getting,36.469999,36.719999
those,36.719999,36.969999
legs,36.97,37.44
nice,37.65,38.03
and,38.03,38.19
warm,38.19,38.72
big,39.3,39.55
inhale,39.55,39.89
big,39.89,40.14
exhale,40.14,40.7
perfect,41.2,41.57
getting,41.58,41.84
that,41.97,42.0
body,42.0,42.64
ready,43.28,43.63
to,43.63,43.650000000000006
get,,
really,44.2,44.56
sweaty,44.58,45.04
perfect,45.78,46.34
go,47.28,47.34
ahead,47.34,47.38
back,47.55,47.82
to,47.82,47.95
the,47.95,48.07
middle,48.07,48.44
again,48.48,48.970000000000006
side,49.73,50.11000000000001
step,50.139999,50.289999
your,50.57,50.77
arms,50.77,51.23
just,51.28,51.41
in,51.48,51.64
front,51.639999,51.839999000000006
of,51.839999,51.979999
you,51.98,52.330000000000005
keep,52.969999,53.099999
that,53.1,53.29
chest,53.289999,53.749999
up,53.75,54.06
weight,54.75,55.01
in,55.0,55.04
the,55.04,55.06
center,55.19,55.67
good,56.11,56.49
get,57.88,58.07
that,58.07,58.25
breath,58.25,58.5
going,58.53,58.81
that,58.81,58.99
breath,58.99,59.27
is,59.27,59.36
gonna,59.36,59.54
help,59.54,59.76
with,59.76,59.96
your,59.96,60.21
movements,60.66,61.16
you,61.23,61.31
want,61.31,61.49
to,61.49,61.52
make,61.52,61.71
sure,61.71,61.88
you,61.88,62.010000000000005
keep,62.059999,62.299999
breathing,62.3,62.87
good,62.97,63.21
one,63.34,63.53
more,63.53,63.7
each,63.7,63.870000000000005
side,63.87,64.28999999999999
and,65.91,66.07
back,66.3,66.36
to,66.36,66.55999999999999
the,66.55999999999999,66.58
middle,66.58,66.63
press,66.83999999999999,67.05
off,67.21,67.27999999999999
that,67.27999999999999,67.5
heel,67.5,67.83999999999999
good,67.83999999999999,68.13999999999999
you,68.13999999999999,68.16
look,68.16,68.19
great,68.44,68.87
last,68.87,69.21000000000001
one,69.21000000000001,69.62
good,70.190001,70.54000099999999
right,70.539999,70.819999
into,70.82,71.11999999999999
jump,71.119999,71.42999900000001
rope,71.43,71.71000000000001
so,71.709999,71.80999899999999
your,71.809999,71.98999900000001
feet,72.479999,72.51999900000001
are,72.51999900000001,72.52999900000002
just,72.52999900000002,72.56999900000001
going,72.56999900000001,72.60999900000002
to,72.60999900000002,72.63999900000002
go,,
side,,
to,,
side,73.21,73.53999999999999
arms,74.19,74.56
right,74.56,74.76
by,74.76,74.89
your,74.89,75.07000000000001
side,75.13,75.44
circling,75.44,75.86
like,75.92,76.14
you,76.14,76.24
