ORIGINAL_WORD,GENTLE_GENERATED,START_TIME,END_TIME
hey,hey,14.219999,14.389999
guys,guys,16.879999,16.909999000000003
it's,it's,16.91,16.96
Kelly,,,
from,,,
Fitness,,,
Blender,,,
dot,,,
com,,,
and,,,
today,,,
I,,,
have,,,
a,,,
body,,,
weight,,,
only,,,
cardio,cardio,17.789999,18.149999
workout,workout,18.17,18.490000000000002
for,for,18.53,18.69
you,you,18.69,18.89
we're,we're,19.13,19.259999999999998
going,going,19.26,19.44
to,to,19.44,19.46
be,be,19.46,19.55
doing,doing,19.55,19.86
45,<unk>,19.86,20.259999999999998
seconds,seconds,20.27,20.62
on,on,20.63,20.89
with,with,20.89,20.98
15,<unk>,20.98,20.990000000000002
seconds,seconds,21.44,21.8
reps,reps,21.8,21.94
and,and,22.11,22.22
then,then,22.22,22.349999999999998
A,a,22.39,22.580000000000002
B,b,22.58,22.849999999999998
A,a,22.88,23.06
B,b,23.06,23.29
format,format,23.31,23.82
I've,i've,24.06,24.209999999999997
included,included,24.21,24.64
your,your,24.64,24.78
warmup,warmup,24.78,25.26
and,and,25.28,25.470000000000002
your,your,25.610000000000003,25.700000000000003
cooldown,<unk>,25.700000000000003,26.03
so,so,26.23,26.34
let's,let's,26.34,26.52
go,go,26.52,26.63
ahead,ahead,26.630000000000003,26.78
and,and,26.78,26.880000000000003
get,get,26.880000000000003,27.020000000000003
started,started,27.02,27.419999999999998
alright,alright,28.66,29.02
so,so,29.02,29.14
we've,we've,29.139999,29.319999
got,got,29.32,29.55
a,a,29.58,29.729999999999997
built,built,29.73,30.11
in,in,30.11,30.29
warmup,warmup,30.29,30.7
we're,we're,30.71,30.76
gonna,gonna,30.759999,30.919999
start,start,30.92,31.23
off,off,31.23,31.42
with,with,31.429999000000002,31.579999
that,that,31.59,31.82
45,<unk>,31.82,32.47
on,on,32.480000000000004,32.900000000000006
15,<unk>,33.019999999999996,33.309999999999995
seconds,seconds,33.309999,33.719998999999994
rest,rest,33.719999,34.149999
structure,structure,34.659999,35.169999000000004
but,but,35.480000000000004,35.63
we're,we're,35.629999,35.709998999999996
going,,,
to,,,
start,start,35.869999,36.059999
nice,nice,36.07,36.33
and,and,36.33,36.5
light,light,36.5,36.81
so,so,36.81,36.99
that,that,37.0,37.13
we,we,37.13,37.43
like,like,37.81,38.010000000000005
I,i,38.01,38.1
said,said,38.1,38.300000000000004
we,we,38.3,38.32
